SchoolRecordID,SeedCode,SchUID,SchoolName,SchoolMapLabel,SchoolType,CentreType,Denomination,LAName,LACode,AddressLine1,AddressLine2,AddressLine3,PostCode,PostCode_clean,Postcode_area,Postcode_district,Latitude,Longitude,GridRefEasting,GridRefNorthing,PupilRoll,FTETeacher,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,DataZone,UPRN,Email,Phone,Website,Notes,HasCoordinates
103,8304130,8304130S,Dumbarton Academy,Dumbarton Academy (West Dunbartonshire),Secondary,Local Authority,Non-denominational,West Dunbartonshire,S12000039,Crosslet Road,,DUMBARTON,G82 2AJ,G82 2AJ,G,G82,55.9465597,-4.5567825,240431,675566,691,60.3,0 - <5%,20 - <25%,79,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013196,129055351,SchoolOffice.Dumbarton@west-dunbarton.gov.uk,01389 774560,http://www.dumbarton-academy.com/,,True
104,5939038,5939038S,Dumfries Academy,Dumfries Academy (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Academy Street,Dumfries,,DG1 1DD,DG1 1DD,DG,DG1,55.0720105,-3.6111697,297220,576469,608,42.3,5 - <10%,25 - <30%,6,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007612,137011198,gw08officedumfriesac@ea.dumgal.sch.uk,01387 274350,http://www.dumfriesacademy.org/,,True
105,5939232,5939232S,Dumfries High School,Dumfries High School (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,Marchmount,Dumfries,,DG1 1PX,DG1 1PX,DG,DG1,55.0745287,-3.594652,298281,576725,748,51.8,0 - <5%,0 - <5%,49,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007615,137060913,gw08officedumfries@ea.dumgal.sch.uk,01387 263061,http://www.dumfrieshighschool.co.uk/,,True
106,5555736,5555736S,Dunbar Grammar School,Dunbar Grammar School (East Lothian),Secondary,Local Authority,Non-denominational,East Lothian,S12000010,Summerfield Road,Dunbar,,EH42 1NJ,EH42 1NJ,EH,EH42,55.9997199,-2.5313439,366959,678658,1120,80.9,0 - <5%,0%,54,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01008286,138018258,dunbar.gs@dunbargrammar.elcschool.org.uk,01368 863339,http://www.edubuzz.org/dunbargrammar/,,True
107,5722438,5722438S,Dunblane High School,Dunblane High School (Stirling),Secondary,Local Authority,Non-denominational,Stirling,S12000030,Old Doune Road,Dunblane,,FK15 9EW,FK15 9EW,FK,FK15,56.1827331,-3.9803024,277180,700666,928,67.3,5 - <10%,0 - <5%,96,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01013103,122059741,dunblanehs@stirling.gov.uk,01786 823823,http://www.dunblanehighschool.org.uk/,,True
108,8533431,8533431S,Duncanrig Secondary School,Duncanrig Secondary School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Winnipeg Drive,East Kilbride,,G75 8ZT,G75 8ZT,G,G75,55.7597039,-4.2050133,261732,654019,1752,139.3,5 - <10%,0 - <5%,40,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012986,484157058,office@duncanrig.s-lanark.sch.uk,01355 588 800,http://www.duncanrig.s-lanark.sch.uk/,,True
109,5446139,5446139S,Dunfermline High School,Dunfermline High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,St Leonard's Place,Dunfermline,,KY11 3BQ,KY11 3BQ,KY,KY11,56.062645,-3.4557719,309452,686489,1450,104.4,5 - <10%,5 - <10%,61,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009312,320306719,dunfermlinehs.enquiries@fife.gov.uk,01383 602402,https://www.fifedirect.org.uk/schoolsite/index.cfm?fuseaction=site&SiteID=9E555DB1-B726-BBC8-D70C98035DBA5AE2,,True
110,8110239,8110239S,Dunoon Grammar School,Dunoon Grammar School (Argyll and Bute),Secondary,Local Authority,Non-denominational,Argyll and Bute,S12000035,Ardenslate Road,DUNOON,ARGYLL,PA23 8LU,PA23 8LU,PA,PA23,55.9624473,-4.9241769,217570,678244,745,66.4,0 - <5%,*,43,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,5,4,Very Remote Small Towns,Remote Small Towns,S01007365,125013150,enquiriesdunoongrammar@argyll-bute.gov.uk,01369 705010,http://www.dunoongrammar.argyll-bute.sch.uk/,,True
111,5243335,5243335S,Dyce Academy,Dyce Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Riverview Drive,Dyce,ABERDEEN,AB21 7NF,AB21 7NF,AB,AB21,57.2057113,-2.1759578,389469,812786,689,56.2,5 - <10%,0 - <5%,52,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006750,9051017062,dyceacademy@aberdeencity.gov.uk,01224 725118,http://www.dyceacademy.aberdeen.sch.uk/,,True
112,5616530,5616530S,Earlston High School,Earlston High School (Scottish Borders),Secondary,Local Authority,Non-denominational,Scottish Borders,S12000026,Earlston,Berwickshire,,TD4 6HF,TD4 6HF,TD,TD4,55.6387799,-2.6615385,358455,638557,1090,79.5,0 - <5%,*,74,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01012268,116067581,earlstonhs@scotborders.gov.uk,01896 849282,http://www.earlstonps.co.uk/,,True
113,1003062,1003062S,East Dunbartonshire Central School,East Dunbartonshire Central School (East Dunbartonshire),Secondary,Local Authority,Non-denominational,East Dunbartonshire,S12000045,New College Lanarkshire Kirkintilloch Campus,50 Southbank Road,KIRKINTILLOCH,G66 1NH,G66 1NH,G,G66,55.9362943,-4.1571179,265349,673573,1,0.0,*,*,19,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01008131,132054978,jackie.swan@eastdunbarton.gov.uk,0141 578 8681,,,True
114,8433232,8433232S,Eastbank Academy,Eastbank Academy (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,26 Academy Street,,GLASGOW,G32 9AA,G32 9AA,G,G32,55.8504326,-4.1629736,264685,664031,1051,79.1,10 - <20%,75 - <80%,10,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010139,906700127899,headteacher@eastbankacademy.glasgow.sch.uk,0141 582 0080,http://www.eastbankacademy.glasgow.sch.uk/,,True
115,8601739,8601739S,Eastwood High School,Eastwood High School (East Renfrewshire),Secondary,Local Authority,Non-denominational,East Renfrewshire,S12000011,Capelrig Road,Newton Mearns,GLASGOW,G77 6NQ,G77 6NQ,G,G77,55.7872296,-4.3276536,254140,657333,1239,103.1,>20%,0 - <5%,90,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008334,131041649,headteacher@eastwood.e-renfrew.sch.uk,0141 577 2200,http://www.ea.e-renfrew.sch.uk/eastwood/,,True
116,5202736,5202736S,Elgin Academy,Elgin Academy (Moray),Secondary,Local Authority,Non-denominational,Moray,S12000020,Morriston Road,Elgin,MORAY,IV30 4ND,IV30 4ND,IV,IV30,57.6535948,-3.3281848,320835,863410,1069,73.4,5 - <10%,5 - <10%,92,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011120,133066269,admin.elginacad@moray-edunet.gov.uk,01343 543485,https://www.elginacademy.co.uk/,,True
117,5210038,5210038S,Elgin High School,Elgin High School (Moray),Secondary,Local Authority,Non-denominational,Moray,S12000020,Edgar Road,,ELGIN MORAY,IV30 6UD,IV30 6UD,IV,IV30,57.6358735,-3.3236353,321068,861432,842,70.8,*,10 - <15%,75,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011114,133070677,admin.elginhigh@moray-edunet.gov.uk,01343 545181,http://www.elginhigh.moray.sch.uk/,,True
118,5231132,5231132S,Ellon Academy,Ellon Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Community Campus,Kellie Pearl Way,ELLON,AB41 8LF,AB41 8LF,AB,AB41,57.3589674,-2.0537718,396864,829834,1154,97.7,0 - <5%,*,67,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01006977,151167407,ellon.aca@aberdeenshire.gov.uk,01358 281150,http://ellonacademy.aberdeenshire.sch.uk,,True
119,1004204,1004204S,e-Sgoil nan Eilean Siar,e-Sgoil nan Eilean Siar (Na h-Eileanan an Iar),Secondary,Local Authority,Non-denominational,Na h-Eileanan an Iar,S12000013,44 Francis Street,Stornoway,ISLE OF LEWIS,HS1 2NF,HS1 2NF,HS,HS1,58.2093421,-6.3830212,142641,932887,0,0.0,0,0,28,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,5,4,Very Remote Small Towns,Remote Small Towns,S01009041,139013578,e-sgoil@gnes.net,01851 822850,http://www.e-sgoil.com/,"Pupil roll, FTE teachers, proportion of pupils minority ethnic, and proportion of puplis 20% most deprived is recorded as zero as this school is not included in the School Level Summary Statistics.",True
120,5647436,5647436S,Eyemouth High School,Eyemouth High School (Scottish Borders),Secondary,Local Authority,Non-denominational,Scottish Borders,S12000026,Gunsgreenhill,Eyemouth,BERWICKSHIRE,TD14 5LZ,TD14 5LZ,TD,TD14,55.8625306,-2.0891156,394520,663264,495,44.3,0%,0%,57,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,6,5,Accessible Rural Areas,Accessible Rural Areas,S01012310,116063826,ehs@scotborders.gov.uk,01890 750363,http://eyemouthhigh.org.uk/,,True
121,5745632,5745632S,Falkirk High School,Falkirk High School (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Westburn Avenue,Falkirk,,FK1 5BZ,FK1 5BZ,FK,FK1,55.9976758,-3.8064751,287429,679776,1127,98.0,5 - <10%,35 - <40%,90,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009168,136078913,falkirkhighschool@falkirk.gov.uk,01324 679010,http://www.falkirk.falkirk.sch.uk,,True
122,5110432,5110432S,Farr High School,Farr High School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Bettyhill,By Thurso,,KW14 7SS,KW14 7SS,KW,KW14,58.5260941,-4.2249213,270532,961922,68,11.9,*,0%,51,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01010811,130058494,farr.high@highland.gov.uk,01641 521217,https://farrhigh.wordpress.com/,,True
123,5532639,5532639S,Firrhill High School,Firrhill High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,9 Oxgangs Road North,Firrhill,EDINBURGH,EH14 1DP,EH14 1DP,EH,EH14,55.9149191,-3.2364067,322817,669783,1331,99.4,10 - <20%,5 - <10%,47,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008526,906189792,admin@firrhill.edin.sch.uk,0131 441 4501,http://www.firrhillhighschool.org.uk/,,True
124,5307538,5307538S,Forfar Academy,Forfar Academy (Angus),Secondary,Local Authority,Non-denominational,Angus,S12000041,Forfar Community Campus,Kirriemuir Road,FORFAR,DD8 3TG,DD8 3TG,DD,DD8,56.6527675,-2.8946734,345243,751577,1107,86.4,*,0 - <5%,54,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01007246,117134303,ForfarAcademy@angusschools.org.uk,01307 492200,https://blogs.glowscotland.org.uk/an/forfaracademy/,,True
125,5203031,5203031S,Forres Academy,Forres Academy (Moray),Secondary,Local Authority,Non-denominational,Moray,S12000020,Burdsyard Road,Forres,MORAY,IV36 1FG,IV36 1FG,IV,IV36,57.6035828,-3.6117804,303780,858210,821,69.5,*,*,96,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01011158,133039551,admin.forresacad@moray-edunet.gov.uk,01309 672271,https://blogs.glowscotland.org.uk/my/forresacademy/,,True
126,5532736,5532736S,Forrester High School,Forrester High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,212 Broomhouse Road,Edinburgh,,EH12 9AE,EH12 9AE,EH,EH12,55.9309921,-3.2898108,319512,671632,815,64.8,10 - <20%,20 - <25%,68,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008985,906467653,admin@forrester.edin.sch.uk,0131 334 9262,http://forresterhighschool.org.uk/,,True
127,5119332,5119332S,Fortrose Academy,Fortrose Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Academy Street,Fortrose,ROSS-SHIRE,IV10 8TW,IV10 8TW,IV,IV10,57.5796439,-4.1268597,272921,856394,646,49.5,0 - <5%,*,75,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01010721,130001061,fortrose.academy@highland.gov.uk,01381 620310,http://www.fortroseacademy.co.uk/,,True
128,5219736,5219736S,Fraserburgh Academy,Fraserburgh Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Dennyduff Road,Fraserburgh,ABERDEENSHIRE,AB43 9NA,AB43 9NA,AB,AB43,57.6877674,-2.0153889,399182,866438,1127,91.9,*,20 - <25%,45,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007123,151085018,fraserburgh.aca@aberdeenshire.gov.uk,01346 417400,http://www.fraserburgh.aberdeenshire.sch.uk,,True
129,5119030,5119030S,Gairloch High School,Gairloch High School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Achtercairn,Gairloch,,IV21 2BP,IV21 2BP,IV,IV21,57.7293571,-5.6921491,180274,877062,89,14.4,*,0%,62,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01010687,130065069,gairloch.high@highland.gov.uk,01445 712275,https://gairlochhigh.org.uk/,,True
130,5619734,5619734S,Galashiels Academy,Galashiels Academy (Scottish Borders),Secondary,Local Authority,Non-denominational,Scottish Borders,S12000026,Elm Row,Galashiels,SELKIRKSHIRE,TD1 3HU,TD1 3HU,TD,TD1,55.6127928,-2.8128227,348898,635766,874,70.3,*,5 - <10%,31,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012278,116004992,galashielsacademy@scotborders.gov.uk,01896 754788,http://www.galashiels.org.uk/,,True
131,8215634,8215634S,Garnock Community Campus,Garnock Community Campus (North Ayrshire),Secondary,Local Authority,Non-denominational,North Ayrshire,S12000021,Beith Road,,GLENGARNOCK,KA14 3BF,KA14 3BF,KA,KA14,55.7396362,-4.6708056,232424,652815,990,82.2,0 - <5%,45 - <50%,26,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01011347,126086698,garnock@ea.n-ayrshire.sch.uk,01505 682685,http://www.garnockacademy.com/,,True
132,8236534,8236534S,Girvan Academy,Girvan Academy (South Ayrshire),Secondary,Local Authority,Non-denominational,South Ayrshire,S12000028,62 The Avenue,Girvan,,KA26 9DW,KA26 9DW,KA,KA26,55.239538,-4.8452624,219196,597618,542,53.0,0 - <5%,20 - <25%,34,N,N,N,4,4,Remote Small Towns,Remote Small Towns,4,4,Remote Small Towns,Remote Small Towns,S01012432,141052397,girvan.mail@south-ayrshire.gov.uk,01465 716816,http://www.girvanacademy.sayr.sch.uk,,True
133,8432627,8432627S,Glasgow Gaelic School,Glasgow Gaelic School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,147 Berkeley Street,,GLASGOW,G3 7HP,G3 7HP,G,G3,55.8645231,-4.2799771,257413,665834,491,43.2,0 - <5%,20 - <25%,22,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010279,906700012289,headteacher@glasgowgaelic.glasgow.sch.uk,0141 276 8500,http://www.glasgowgaelic.glasgow.sch.uk/,,True
134,5142539,5142539S,Glen Urquhart High School,Glen Urquhart High School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Pitkerrald Road,Drumnadrochit,,IV63 6XA,IV63 6XA,IV,IV63,57.3281893,-4.4847817,250500,829139,209,24.3,0 - <5%,*,59,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01010666,130111598,glenurquhart.high@highland.gov.uk,01456 459134,https://en-gb.facebook.com/glenurquharthighschool/,,True
135,8628831,8628831S,Gleniffer High School,Gleniffer High School (Renfrewshire),Secondary,Local Authority,Non-denominational,Renfrewshire,S12000038,Amochrie Road,,PAISLEY,PA2 0AG,PA2 0AG,PA,PA2,55.8259723,-4.4583361,246101,661927,1110,80.1,0 - <5%,25 - <30%,69,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01012089,123035698,glenifferhighenquiries@renfrewshire.gov.uk,0300 300 1313,http://www.glenifferhigh.renfrewshire.sch.uk/,,True
136,5406730,5406730S,Glenrothes High School,Glenrothes High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,Napier Road,Glenrothes,,KY6 1HJ,KY6 1HJ,KY,KY6,56.1986215,-3.1905615,326227,701307,830,65.5,5 - <10%,20 - <25%,36,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009562,320178909,glenrotheshs.enquiries@fife.gov.uk,01592 583476,http://www.glenrotheshighschool.org.uk,,True
137,5406536,5406536S,Glenwood High School,Glenwood High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,South Parks Road,Glenrothes,,KY6 1JX,KY6 1JX,KY,KY6,56.1970624,-3.2058884,325273,701150,876,72.8,0 - <5%,40 - <45%,10,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009559,320178911,glenwoodhs.enquiries@fife.gov.uk,01592 583404,http://www.fifedirect.org.uk/GlenwoodHS/,,True
138,5109531,5109531S,Golspie High School,Golspie High School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Main Street,,GOLSPIE,KW10 6RF,KW10 6RF,KW,KW10,57.9754806,-3.9734226,283379,900175,264,26.1,0 - <5%,0%,34,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01010770,130015403,golspie.high@highland.gov.uk,01408 633451,http://golspiehigh.schools.uk.com/,,True
139,8433836,8433836S,Govan High School,Govan High School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,12 Ardnish Street,,GLASGOW,G51 4NB,G51 4NB,G,G51,55.8579883,-4.3332918,254052,665218,612,69.0,5 - <10%,80 - <85%,10,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01009837,906700182881,headteacher@govanhigh.glasgow.sch.uk,0141 582 0090,http://www.govanhigh.glasgow.sch.uk,,True
140,5532930,5532930S,Gracemount High School,Gracemount High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,136 Lasswade Road,Edinburgh,,EH16 6TZ,EH16 6TZ,EH,EH16,55.9039561,-3.1512372,328120,668471,631,58.3,>20%,40 - <45%,17,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008557,906406847,admin@gracemount.edin.sch.uk,0131 664 7440,http://www.gracemounthighschool.co.uk/,,True
141,5746132,5746132S,Graeme High School,Graeme High School (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Callendar Road,Falkirk,,FK1 1SY,FK1 1SY,FK,FK1,55.9978572,-3.7635885,290104,679727,1152,90.5,5 - <10%,20 - <25%,47,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009149,136062622,graemehighschool@falkirk.gov.uk,01324 622576,http://www.graeme.falkirk.sch.uk/,,True
142,8224234,8224234S,Grange Academy,Grange Academy (East Ayrshire),Secondary,Local Authority,Non-denominational,East Ayrshire,S12000008,Beech Avenue,Kilmarnock,,KA1 2EW,KA1 2EW,KA,KA1,55.607492,-4.5130954,241789,637742,1229,92.7,0 - <5%,30 - <35%,93,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01008017,127066834,scott.robertson@eastayrshire.org.uk,01563 549988,https://blogs.glowscotland.org.uk/ea/eastayrshiregrangeacademymain2017/,,True
143,5746639,5746639S,Grangemouth High School,Grangemouth High School (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Tinto Drive,Grangemouth,,FK3 0HW,FK3 0HW,FK,FK3,56.0037559,-3.7142686,293196,680306,838,79.6,0 - <5%,20 - <25%,64,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009242,136078914,grangemouthhighschool@falkirk.gov.uk,01324 660210,http://www.grangemouth.falkirk.sch.uk,,True
144,5150132,5150132S,Grantown Grammar School,Grantown Grammar School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Cromdale Road,Grantown-on-Spey,,PH26 3HU,PH26 3HU,PH,PH26,57.3344595,-3.5989099,303844,828236,362,31.7,0 - <5%,0%,71,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01010546,130089171,grantown.grammar@highland.gov.uk,01479 872649,https://grantowngrammar.wordpress.com/,,True
145,8357331,8357331S,Greenfaulds High School,Greenfaulds High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Athelstane Drive,Cumbernauld,,G67 4AQ,G67 4AQ,G,G67,55.9357095,-4.0077193,274678,673227,1398,109.5,0 - <5%,5 - <10%,53,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011734,118189238,ht@greenfaulds.n-lanark.sch.uk,01236 794876,http://www.greenfaulds.n-lanark.sch.uk/,,True
146,8215030,8215030S,Greenwood Academy,Greenwood Academy (North Ayrshire),Secondary,Local Authority,Non-denominational,North Ayrshire,S12000021,Dreghorn,,IRVINE,KA11 4HL,KA11 4HL,KA,KA11,55.6085939,-4.632921,234248,638145,1388,106.9,0 - <5%,30 - <35%,78,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011187,126073224,greenwood@ea.n-ayrshire.sch.uk,01294 213124,http://www.greenwoodacademy.co.uk,,True
147,5329434,5329434S,Grove Academy,Grove Academy (Dundee City),Secondary,Local Authority,Non-denominational,Dundee City,S12000042,24 Claypotts Road,Broughty Ferry,DUNDEE,DD5 1AB,DD5 1AB,DD,DD5,56.4708156,-2.8794405,345918,731313,1346,97.3,10 - <20%,*,99,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01007760,9059095133,groveacademy@dundeeschools.scot,01382 436800,http://grove.ea.dundeecity.sch.uk/,,True
148,8633436,8633436S,Gryffe High School,Gryffe High School (Renfrewshire),Secondary,Local Authority,Non-denominational,Renfrewshire,S12000038,Old Bridge of Weir Road,,HOUSTON,PA6 7EB,PA6 7EB,PA,PA6,55.8650294,-4.5542416,240255,666490,958,72.6,5 - <10%,0 - <5%,99,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01012235,123014135,gryffehighenquiries@renfrewshire.gov.uk,0300 300 1323,https://www.gryffehigh.co.uk/,,True
149,8524734,8524734S,Hamilton Grammar School,Hamilton Grammar School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Auchincampbell Road,Hamilton,,ML3 6PE,ML3 6PE,ML,ML3,55.7740066,-4.0459001,271762,655304,1302,105.0,5 - <10%,25 - <30%,51,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012718,484066038,office@hamilton.s-lanark.sch.uk,01698 285777,http://www.hamilton.s-lanark.sch.uk/,,True
150,5243238,5243238S,Harlaw Academy,Harlaw Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,18/20 Albyn Place,Aberdeen,,AB10 1RG,AB10 1RG,AB,AB10,57.1424492,-2.1176256,392981,805736,1075,82.0,>20%,5 - <10%,92,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006571,9051043375,harlawacademy@aberdeencity.gov.uk,01224 589251,http://www.harlawacademy.aberdeen.sch.uk/,,True
151,5329531,5329531S,Harris Academy,Harris Academy (Dundee City),Secondary,Local Authority,Non-denominational,Dundee City,S12000042,470 - 472 Perth Road,Dundee,,DD2 1NL,DD2 1NL,DD,DD2,56.455837,-3.009565,337877,729756,1338,102.6,10 - <20%,30 - <35%,98,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01007685,9059065449,harrisacademy@dundeeschools.scot,01382 435700,http://harrisacademy.ea.dundeecity.sch.uk/,School Contacts List UPRN (9059088912) is not in SAD 2024 Q1.  GISAT has assigned the UPRN for Harris Academy as it is in SAD 2024 Q1 (9059065449).,True
152,5632536,5632536S,Hawick High School,Hawick High School (Scottish Borders),Secondary,Local Authority,Non-denominational,Scottish Borders,S12000026,Buccleuch Road,Hawick,ROXBURGHSHIRE,TD9 0EG,TD9 0EG,TD,TD9,55.4215564,-2.794245,349825,614470,756,66.3,*,35 - <40%,72,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012369,116040812,hhs@scotborders.gov.uk,01450 372429,http://hawickhighschool.co.uk/,,True
153,5243432,5243432S,Hazlehead Academy,Hazlehead Academy (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Groat's Road,Aberdeen,,AB15 8BE,AB15 8BE,AB,AB15,57.1442461,-2.1786075,389291,805944,1074,82.9,10 - <20%,5 - <10%,55,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006547,9051009101,hazleheadacademy@aberdeencity.gov.uk,01224 310184,http://hazleheadacy.aberdeen.sch.uk/,,True
154,8304734,8304734S,Hermitage Academy,Hermitage Academy (Argyll and Bute),Secondary,Local Authority,Non-denominational,Argyll and Bute,S12000035,Cardross Road,Helensburgh,,G84 7LA,G84 7LA,G,G84,55.9950838,-4.7010133,231638,681308,1282,92.8,0 - <5%,5 - <10%,83,N,N,N,2,2,Other Urban Areas,Other Urban Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01007405,125070021,enquirieshermitageacademy@argyll-bute.gov.uk,01436 672145,http://www.hermitageacademy.argyll-bute.sch.uk/,,True
